0:0:0:0:0:0:0:1 - - [21/Mar/2024:14:15:33 +0530] "GET /Gym_Management/JS/chart.js HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [21/Mar/2024:14:15:46 +0530] "GET /Gym_Management/home HTTP/1.1" 200 8642
0:0:0:0:0:0:0:1 - - [21/Mar/2024:14:15:46 +0530] "GET /Gym_Management/JS/chart.js HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [21/Mar/2024:14:17:03 +0530] "GET /Gym_Management/home HTTP/1.1" 200 8953
0:0:0:0:0:0:0:1 - - [21/Mar/2024:14:17:03 +0530] "GET /Gym_Management/JS/chart.js HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [21/Mar/2024:14:17:03 +0530] "GET /Gym_Management/img/inshtagram.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2024:14:17:03 +0530] "GET /Gym_Management/img/facebook.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2024:14:17:31 +0530] "GET /Gym_Management/home HTTP/1.1" 200 8958
0:0:0:0:0:0:0:1 - - [21/Mar/2024:14:17:32 +0530] "GET /Gym_Management/JS/chart.js HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [21/Mar/2024:14:17:48 +0530] "GET /Gym_Management/home HTTP/1.1" 200 8963
0:0:0:0:0:0:0:1 - - [21/Mar/2024:14:17:48 +0530] "GET /Gym_Management/JS/chart.js HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [21/Mar/2024:14:17:48 +0530] "GET /Gym_Management/img/inshtagram.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2024:14:17:48 +0530] "GET /Gym_Management/img/facebook.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2024:14:18:10 +0530] "GET /Gym_Management/home HTTP/1.1" 200 8963
0:0:0:0:0:0:0:1 - - [21/Mar/2024:14:18:10 +0530] "GET /Gym_Management/JS/chart.js HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [21/Mar/2024:14:18:13 +0530] "GET /Gym_Management/home HTTP/1.1" 200 8963
0:0:0:0:0:0:0:1 - - [21/Mar/2024:14:18:13 +0530] "GET /Gym_Management/JS/chart.js HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [21/Mar/2024:14:18:13 +0530] "GET /Gym_Management/home HTTP/1.1" 200 8963
0:0:0:0:0:0:0:1 - - [21/Mar/2024:14:18:13 +0530] "GET /Gym_Management/JS/chart.js HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [21/Mar/2024:14:18:15 +0530] "POST /Gym_Management/tList HTTP/1.1" 200 9692
0:0:0:0:0:0:0:1 - - [21/Mar/2024:14:18:15 +0530] "GET /Gym_Management/JS/chart.js HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [21/Mar/2024:14:18:18 +0530] "POST /Gym_Management/tdel HTTP/1.1" 200 10034
0:0:0:0:0:0:0:1 - - [21/Mar/2024:14:18:18 +0530] "GET /Gym_Management/JS/chart.js HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [21/Mar/2024:14:19:47 +0530] "POST /Gym_Management/tdel HTTP/1.1" 200 10069
0:0:0:0:0:0:0:1 - - [21/Mar/2024:14:19:47 +0530] "GET /Gym_Management/JS/chart.js HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [21/Mar/2024:14:19:47 +0530] "GET /Gym_Management/img/inshtagram.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2024:14:19:47 +0530] "GET /Gym_Management/img/facebook.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2024:14:23:10 +0530] "GET /Gym_Management/ HTTP/1.1" 200 5111
0:0:0:0:0:0:0:1 - - [21/Mar/2024:14:23:10 +0530] "GET /Gym_Management/JS/chart.js HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [21/Mar/2024:14:23:12 +0530] "POST /Gym_Management/login HTTP/1.1" 200 8976
0:0:0:0:0:0:0:1 - - [21/Mar/2024:14:23:12 +0530] "GET /Gym_Management/JS/chart.js HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [21/Mar/2024:14:23:12 +0530] "GET /Gym_Management/img/inshtagram.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2024:14:23:12 +0530] "GET /Gym_Management/img/facebook.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2024:14:23:16 +0530] "POST /Gym_Management/login HTTP/1.1" 200 8976
0:0:0:0:0:0:0:1 - - [21/Mar/2024:14:23:16 +0530] "GET /Gym_Management/JS/chart.js HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [21/Mar/2024:14:24:07 +0530] "GET /Gym_Management/ HTTP/1.1" 200 5111
0:0:0:0:0:0:0:1 - - [21/Mar/2024:14:24:07 +0530] "GET /Gym_Management/JS/chart.js HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [21/Mar/2024:14:24:14 +0530] "POST /Gym_Management/login HTTP/1.1" 200 8976
0:0:0:0:0:0:0:1 - - [21/Mar/2024:14:24:14 +0530] "GET /Gym_Management/JS/chart.js HTTP/1.1" 404 785
127.0.0.1 - - [21/Mar/2024:14:27:28 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [21/Mar/2024:14:27:28 +0530] "GET /Gym_Management/ HTTP/1.1" 200 5111
0:0:0:0:0:0:0:1 - - [21/Mar/2024:14:27:28 +0530] "GET /Gym_Management/JS/chart.js HTTP/1.1" 404 785
127.0.0.1 - - [21/Mar/2024:14:28:59 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [21/Mar/2024:14:29:00 +0530] "GET /Gym_Management/ HTTP/1.1" 200 5111
0:0:0:0:0:0:0:1 - - [21/Mar/2024:14:29:00 +0530] "GET /Gym_Management/JS/chart.js HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [21/Mar/2024:14:29:00 +0530] "GET /Gym_Management/img/gm.jpg HTTP/1.1" 200 17100
0:0:0:0:0:0:0:1 - - [21/Mar/2024:14:29:00 +0530] "GET /Gym_Management/css/index.css HTTP/1.1" 200 626
0:0:0:0:0:0:0:1 - - [21/Mar/2024:14:29:00 +0530] "GET /Gym_Management/js/index.js HTTP/1.1" 200 280
0:0:0:0:0:0:0:1 - - [21/Mar/2024:14:37:31 +0530] "GET /Gym_Management/ HTTP/1.1" 200 5111
0:0:0:0:0:0:0:1 - - [21/Mar/2024:14:37:31 +0530] "GET /Gym_Management/JS/chart.js HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [21/Mar/2024:14:37:31 +0530] "GET /Gym_Management/img/gm.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2024:14:37:37 +0530] "POST /Gym_Management/login HTTP/1.1" 200 8977
0:0:0:0:0:0:0:1 - - [21/Mar/2024:14:37:37 +0530] "GET /Gym_Management/img/inshtagram.jpg HTTP/1.1" 200 67193
0:0:0:0:0:0:0:1 - - [21/Mar/2024:14:37:37 +0530] "GET /Gym_Management/img/facebook.jpg HTTP/1.1" 200 14505
0:0:0:0:0:0:0:1 - - [21/Mar/2024:14:37:37 +0530] "GET /Gym_Management/JS/chart.js HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [21/Mar/2024:14:37:37 +0530] "GET /Gym_Management/css/trainer.css HTTP/1.1" 200 639
0:0:0:0:0:0:0:1 - - [21/Mar/2024:14:37:37 +0530] "GET /Gym_Management/js/member.js HTTP/1.1" 200 1168
0:0:0:0:0:0:0:1 - - [21/Mar/2024:14:37:39 +0530] "GET /Gym_Management/img/gmm.jpg HTTP/1.1" 200 8609
